Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|24/09/2024|Vente|165300,00|5||AV|0870|DES COTEAUX|6400|CANNES|06|29||DI|7||1||4||||||||2|2|Appartement||35|2|||
|||||||000001|06/09/2024|Vente|309000,00|141||AV|3010|DU PETIT JUAS|6400|CANNES|06|29||BE|174||19||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/09/2024|Vente|309000,00|141||AV|3010|DU PETIT JUAS|6400|CANNES|06|29||BE|174||10||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/09/2024|Vente|309000,00|141||AV|3010|DU PETIT JUAS|6400|CANNES|06|29||BE|174||31|60,26|||||||||1|2|Appartement||58|2|||
|||||||000001|27/08/2024|Vente|45000,00|2||RUE|3330|RENE VIGLIENO|6400|CANNES|06|29||BI|407||333||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/09/2024|Vente|557740,00|28||AV|2430|MAURICE DERCHE|6400|CANNES|06|29||BI|312||30||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/09/2024|Vente|557740,00|28||AV|2430|MAURICE DERCHE|6400|CANNES|06|29||BI|312||40|116,44|||||||||1|2|Appartement||121|3|||
|||||||000001|05/09/2024|Vente|557740,00|28||AV|2430|MAURICE DERCHE|6400|CANNES|06|29||BI|312||40|116,44|||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|407500,00|57||AV|0981|DOC RAYMOND PICAUD|6400|CANNES|06|29||AV|115||18||32|102,29|||||||2|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|407500,00|57||AV|0981|DOC RAYMOND PICAUD|6400|CANNES|06|29||AV|115||18||32|102,29|||||||2|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|407500,00|57||AV|0981|DOC RAYMOND PICAUD|6400|CANNES|06|29||AV|115||20||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|407500,00|57||AV|0981|DOC RAYMOND PICAUD|6400|CANNES|06|29||AV|115||18||32|102,29|||||||2|2|Appartement||101|4|||
|||||||000001|04/09/2024|Vente|295000,00|20||RUE|0570|CAMPESTRA|6400|CANNES|06|29||BI|298||17||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/09/2024|Vente|295000,00|20||RUE|0570|CAMPESTRA|6400|CANNES|06|29||BI|298||44||||||||||1|3|Dépendance||0|0|||
